USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.1  23356 14356 ?        Ss   18:03   0:06 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    18:03   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    18:03   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-slub_flushwq]
root           7  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/0:0H-events_highpri]
root          11  0.0  0.0      0     0 ?        I    18:03   0:00 [kworker/u512:0-ipv6_addrconf]
root          12  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-mm_percpu_wq]
root          13  0.0  0.0      0     0 ?        I    18:03   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    18:03   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    18:03   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    18:03   0:00 [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        I    18:03   0:04 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    18:03   0:00 [rcu_exp_par_gp_kthread_worker/1]
root          19  0.0  0.0      0     0 ?        S    18:03   0:00 [rcu_exp_gp_kthread_worker]
root          20  0.0  0.0      0     0 ?        S    18:03   0:00 [migration/0]
root          21  0.0  0.0      0     0 ?        S    18:03   0:00 [idle_inject/0]
root          22  0.0  0.0      0     0 ?        S    18:03   0:00 [cpuhp/0]
root          23  0.0  0.0      0     0 ?        S    18:03   0:00 [cpuhp/1]
root          24  0.0  0.0      0     0 ?        S    18:03   0:00 [idle_inject/1]
root          25  0.0  0.0      0     0 ?        S    18:03   0:01 [migration/1]
root          26  0.0  0.0      0     0 ?        S    18:03   0:00 [ksoftirqd/1]
root          28  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/1:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    18:03   0:00 [cpuhp/2]
root          30  0.0  0.0      0     0 ?        S    18:03   0:00 [idle_inject/2]
root          31  0.0  0.0      0     0 ?        S    18:03   0:01 [migration/2]
root          32  0.0  0.0      0     0 ?        S    18:03   0:00 [ksoftirqd/2]
root          35  0.0  0.0      0     0 ?        S    18:03   0:00 [cpuhp/3]
root          36  0.0  0.0      0     0 ?        S    18:03   0:00 [idle_inject/3]
root          37  0.0  0.0      0     0 ?        S    18:03   0:01 [migration/3]
root          38  0.0  0.0      0     0 ?        S    18:03   0:00 [ksoftirqd/3]
root          40  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/3:0H-kblockd]
root          45  0.0  0.0      0     0 ?        S    18:03   0:00 [kdevtmpfs]
root          46  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-inet_frag_wq]
root          48  0.0  0.0      0     0 ?        S    18:03   0:00 [kauditd]
root          49  0.0  0.0      0     0 ?        S    18:03   0:00 [khungtaskd]
root          50  0.0  0.0      0     0 ?        S    18:03   0:00 [oom_reaper]
root          52  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-writeback]
root          53  0.0  0.0      0     0 ?        S    18:03   0:00 [kcompactd0]
root          54  0.0  0.0      0     0 ?        SN   18:03   0:00 [ksmd]
root          55  0.0  0.0      0     0 ?        SN   18:03   0:00 [khugepaged]
root          56  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-kintegrityd]
root          57  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-kblockd]
root          58  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-blkcg_punt_bio]
root          59  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/9-acpi]
root          61  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-tpm_dev_wq]
root          62  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-ata_sff]
root          63  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-md]
